codigo,codigo_dpto,codigo_mun,dpto,mun,votant,pvotant,votnul,pvotnul,votnma,pvotnma,votbla,pvotbla,votcan,pvotcan,votval,pvotval,RODOLFO_HERNÁNDEZ_vot,RODOLFO_HERNÁNDEZ_pvot,GUSTAVO_PETRO_vot,GUSTAVO_PETRO_pvot,cod2,dane
100004,11,8,ANTIOQUIA,ABEJORRAL,7744,50.59,68,0.87,21,0.27,128,1.67,7527,98.32,7655,98.85,6502,84.93,1025,13.38,1004,5002
2500004,14,12,NORTE DE SAN,ABREGO,14177,57.95,71,0.5,10,0.07,104,0.73,13992,99.26,14096,99.42,11564,82.03,2428,17.22,25004,54003
100007,13,5,ANTIOQUIA,ABRIAQUI,1126,57.24,10,0.88,4,0.35,23,2.06,1089,97.93,1112,98.75,990,89.02,99,8.9,1007,5004
5200005,16,14,META,ACACIAS,48774,71.08,1081,2.21,33,0.06,950,1.99,46710,98,47660,97.71,30871,64.77,15839,33.23,52005,50006
1700004,13,10,CHOCO,ACANDI,4362,44.5,38,0.87,14,0.32,88,2.04,4222,97.95,4310,98.8,1645,38.16,2577,59.79,17004,27006
1900004,12,7,HUILA,ACEVEDO,12988,59.96,86,0.66,9,0.06,149,1.15,12744,98.84,12893,99.26,10284,79.76,2460,19.08,19004,41006
500004,10,9,BOLIVAR,ACHI,8156,45.44,21,0.25,10,0.12,71,0.87,8054,99.12,8125,99.61,5578,68.65,2476,30.47,5004,13006
1900007,12,7,HUILA,AGRADO,4860,63.28,53,1.09,3,0.06,63,1.31,4741,98.68,4804,98.84,3330,69.31,1411,29.37,19007,41013
1500004,14,10,CUNDINAMARCA,AGUA DE DIOS,6184,61.21,81,1.3,5,0.08,123,2.01,5975,97.98,6098,98.6,3561,58.39,2414,39.58,15004,25001
1200075,14,13,CESAR,AGUACHICA,44718,60.56,640,1.43,26,0.05,677,1.53,43375,98.46,44052,98.51,28241,64.1,15134,34.35,12075,20011
2700004,6,3,SANTANDER,AGUADA,936,61.7,4,0.42,0,0,11,1.18,921,98.81,932,99.57,825,88.51,96,10.3,27004,68013
900004,10,9,CALDAS,AGUADAS,11213,58.9,237,2.11,29,0.25,218,1.99,10729,98,10947,97.62,8801,80.39,1928,17.61,9004,17013
4600040,12,10,CASANARE,AGUAZUL,20872,72.1,404,1.93,22,0.1,414,2.02,20032,97.97,20446,97.95,13833,67.65,6199,30.31,46040,85010
1200150,14,13,CESAR,AGUSTIN CODAZZI,25445,49.71,372,1.46,23,0.09,342,1.36,24708,98.63,25050,98.44,9767,38.99,14941,59.64,12150,20013
